HP STEAM PRESSURE,HP STEAM TEMPERATURE,P - 1A,L.O M/PUMP DISC. PRES.,L.O FILTER DELTA PRESSURE,LO CONT. OIL PRESSURE,LO COOLER OUT TEMP.,LO RESERVOIR TEMP.,LO RESERVOIR LEVEL,P - 2A,SO M/PUMP DISC. PRES.,SO FILTER DELTA P,S/O DELTA P,SO COOLER OUT TEMP.,SO RESERVOIR,SO OH/TANK LEVEL,SO DRAINER-A LEVEL,SO DRAINER-B LEVEL,SO DEGAS. D/M,SO RESERVOIR,P - 111B,HS EXH. TEMPERATURE,LO HEADER PRESSURE,LO COMP. OUT TEMP.,LO COMP. OUT TEMP.,SO HEADER PRESSURE,SO HEADER PRESSURE,SO COMP. OUT TEMP.,SO COMP. OUT TEMP.,SO BALLANCE GAS,SO REFERENCE GAS,BUFF/THR. GAS DELTA P,VIB. COMP. SHAFT,VIB. COMP. SHAFT,VIB. COMP. SHAFT,VIB. COMP. SHAFT,DISC. COMP. SHAFT. AXL,DISC. COMP. SHAFT. AXL,VIB. TURBINE SHAFT,VIB. TURBINE SHAFT,VIB. TURBINE SHAFT,VIB. TURBINE SHAFT,DISC. TURB. SHAFT. AXIAL,DISC. TURB. SHAFT. AXIAL,TURBINE SPEED CONT.,TURBINE SPEED CONT.,RYG SUCT. PRESSURE,RYG DISC. PRESSURE,RYG DELTA P,RYG SUCT. TEMPERATURE,RYG DISC. TEMPERATURE,RYG FLOW,LO SUPPLY PRESSURE,SURFACE CONDENSOR TEMPERATURE,Surface Condensor Pump Condition,Lube Oil Pump Condition,Seal Oil Pump Condition,Turbine Governor Comp. Condition,Comp. Condition
30,300,2500,8,0.25,8,30,35,80,2500,150,0.2,5,30,30,50,10,10,10,50,2000,50,1,30,30,150,150,35,35,120,100,200,25,20,35,40,0.5,0.3,20,30,15,24,0.05,0.04,100,10000,150,170,30,50,50,100,1,50,GOOD,GOOD,GOOD,GOOD,GOOD
43,330,3010,10,0.3,9,0,58,100,0,158,0.08,3.4,60,70,46,37,50,50,78,0,56,2.1,56,60,155,155,75,76,155,160,550,7.27,6.54,8.19,7.02,0.115,0.126,6.64,5.86,19.7,17.2,0.008,0.027,0,9533,158,180,27,53,74,148,2.13,55,GOOD,GOOD,GOOD,GOOD,GOOD
43,333,3000,10,0.3,9.5,0,58,100,0,158,0.08,3.4,62,70,44,30,48,50,78,0,56,2.1,56,60,155,0,74,76,155,158,490,7.22,6.35,7.99,6.83,0.116,0.125,6.88,5.81,19.5,17.3,0.005,0.031,0,9562,157,180,27,57,79,152,2.1,53,GOOD,GOOD,GOOD,GOOD,GOOD
43,330,3000,10,0.3,9.5,0,53,100,0,158,0.08,3.4,61,71,44,40,50,50,78,0,56,2.1,56,60,155,0,76,74,155,158,450,7.3,6.5,8,6.9,0.12,0.13,6.9,5.6,19.5,17.1,-0.001,0.029,0,9566,157,180,26,50,70,163,2.1,52,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.5,0,59,100,0,158,0.08,3.5,62,70,47,48,30,50,75,0,56,2.1,56,60,155,0,75,76,150,160,420,7.17,6.39,8.09,6.88,0.127,0.12,6.01,5.72,19.2,16.9,-0.001,0.033,0,9340,157,180,25,48,67,160,2.1,56,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.5,0,58,100,0,158,0.08,3.4,62,70,47,48,35,50,75,0,56,2.1,56,60,155,0,74,75,150,160,430,7.12,6.44,8.14,6.98,0.111,0.122,6.06,6.06,19,16.1,0,0.035,0,9362,157,180,25,58,70,157,2.1,56,GOOD,GOOD,GOOD,GOOD,GOOD
43,340,3010,10,0.3,9,0,57,100,0,158,0.08,3.4,0,70,43,40,50,50,78,0,56,2.1,55,56,152,155,75,75,155,160,400,7.17,6.35,8.09,6.93,0.116,0.125,6.44,5.86,19.3,16.1,0.005,0.028,0,9335,155,78,25,50,70,157,2.1,53,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.5,0,57,100,0,158,0.08,3.3,62,69,47,35,45,50,75,0,55,2.1,56,60,155,0,74,75,150,160,480,7.17,6.36,8.24,6.93,0.115,0.123,5.72,5.86,18.8,16.3,0,0.03,0,9334,157,177,25,55,75,155,2.1,55,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.5,0,58,100,0,162,0.08,3.3,62,70,75,35,45,50,75,0,56,2.1,56,60,155,0,74,76,150,160,620,7.32,6.46,8.33,7.07,0.115,0.125,5.96,6.06,19,16.2,0.002,0.034,0,9374,157,180,25,55,75,155,2.1,55,GOOD,GOOD,GOOD,GOOD,GOOD
43,342,3010,10,0.3,9.5,0,58,100,0,158,0.08,3.4,62,70,46,38,45,50,78,0,56,2.1,56,60,155,0,72,76,150,160,610,7.2,6.3,8.2,7,0.11,0.12,5.6,5.8,19,16.3,0.003,0.032,0,9358,158,179,25,56,75,155,2.1,54,GOOD,GOOD,GOOD,GOOD,GOOD
42,342,3000,10,0.3,9.5,0,59,100,0,158,0.08,3.4,63,71,44,40,45,50,80,0,55,2.1,57,60,155,0,76,77,155,160,650,7.2,6.4,8.2,7.02,0.11,0.12,5.9,5.8,19.6,16.7,-0.001,0.028,0,9312,158,178,25,55,73,155,2.1,54,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.2,0,57,90,0,0,0.08,3.4,61,70,46,30,45,50,80,0,56,2.1,56,60,155,0,74,75,150,158,640,7.22,6.39,7.99,6.83,0.117,0.124,5.86,5.91,19,16.2,0.006,0.031,0,9324,157,180,24.5,54,72,157,2.15,55,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3000,10,0.3,9.2,0,57,100,0,158,0.08,3.4,62,70,45,30,45,50,80,0,54,2.1,56,60,155,0,74,76,150,160,650,7.07,6.3,7.99,6.83,0.117,0.125,6.1,5.72,19,16.3,-0.002,0.028,0,9366,157,178,25,47,66,157,2.1,52,GOOD,GOOD,GOOD,GOOD,GOOD
43.5,340,3010,10,0.31,9.5,0,56,100,0,158,0.08,3.4,61,68,44,30,30,55,78,0,55,2.1,56,60,150,0,74,76,150,158,640,7.02,6.2,7.95,6.83,0.115,0.125,5.43,5.77,19.1,16.1,-0.003,0.026,0,9352,158,180,25,47,65,156,2.1,52,GOOD,GOOD,GOOD,GOOD,GOOD
43,341,3020,10,0.3,9.5,0,53,100,0,158,0.08,3.2,56,70,48,30,40,50,78,0,56,2.1,56,60,155,160,75,76,158,160,660,7.07,6.25,8.19,7.07,0.118,0.129,6.3,5.81,19.6,16.6,0,0.03,0,9370,158,180,24.5,55,70,160,2.1,53,GOOD,GOOD,GOOD,GOOD,GOOD
43,340,3020,10,0.3,9.5,0,57,100,0,158,0.08,3.2,61,72,47,30,50,55,78,0,55,2.1,56,61,160,155,74,76,158,160,600,7.12,6.3,8.09,6.93,0.115,0.125,5.52,5.67,18.8,16.3,0.006,0.027,0,9337,158,180,24.5,52,72,155,2.1,53,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.5,0,57,98,0,158,0.08,3.5,61,69,45,35,48,50,80,0,55,2.1,56,60,155,0,74,75,150,160,650,7,6.3,8,6.8,0.11,0.12,6.4,5.7,18.8,16.3,0.007,0.027,0,9341,158,178,24,52,70,157,2.1,52,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.5,0,58,98,0,158,0.08,3.4,62,70,50,35,48,50,80,0,55,2.1,56,60,155,158,75,76,150,160,640,7,6.2,8,6.8,0.11,0.12,5.4,5.7,19.4,16.5,-0.001,0.03,0,9366,158,178,24,50,69,148,2.1,54,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.5,0,56,95,0,158,0.08,3.4,61,69,44,30,45,50,75,0,55,2.1,56,60,155,0,74,75,150,160,590,7.12,6.25,7.99,6.83,0.115,0.124,6.44,5.81,18.8,16,0.006,0.026,0,9357,157,180,24,50,68,156,2.1,52,GOOD,GOOD,GOOD,GOOD,GOOD
42,340,3010,10,0.3,9.5,0,57,95,0,158,0.08,3.4,61,70,45,30,48,50,75,0,55,2.1,56,60,155,0,74,75,150,160,630,6.98,6.15,7.95,6.78,0.116,0.124,6.1,5.67,19.2,16.2,-0.002,0.025,0,9338,157,180,25,47,65,156,2.1,55,GOOD,GOOD,GOOD,GOOD,GOOD
